Match,Team,Start Time,League,Caesars,Draftkings,Fanduel,Pinnacle,Fanatics,Betmgm,Betonline.Ag,Event Id,Avg Edge Pct,Fair Odds Avg,Best Odds,Best Bookmaker,Result,Outcomes,Event ID,Scrape Time
Tennessee Titans @ Las Vegas Raiders,Tennessee Titans,2025-10-12 16:06:00,NFL,6.5,6.0,5.3,3.49,5.0,5.75,,,19.92,5.42,6.5,Caesars,Las Vegas Raiders,2,Not Found,2025-10-12 16:59:22
Cincinnati Bengals @ Green Bay Packers,Cincinnati Bengals,2025-10-12 16:28:00,NFL,11.0,17.0,15.0,6.41,15.0,16.0,,,35.45,12.55,17.0,DraftKings,Green Bay Packers,2,Not Found,2025-10-12 17:24:23
San Francisco 49ers @ Tampa Bay Buccaneers,San Francisco 49ers,2025-10-12 16:26:00,NFL,3.05,2.95,3.35,2.92,3.0,3.1,,,3.24,3.24,3.35,FanDuel,Tampa Bay Buccaneers,2,Not Found,2025-10-12 17:58:54
Detroit Lions @ Kansas City Chiefs,Detroit Lions,2025-10-12 20:22:43,NFL,4.05,4.1,6.4,2.55,4.75,5.0,,,46.07,4.38,6.4,FanDuel,Kansas City Chiefs,2,Not Found,2025-10-12 22:08:25
Seattle Mariners @ Toronto Blue Jays,Toronto Blue Jays,2025-10-12 20:04:45,MLB,3.6,2.75,2.62,2.22,2.5,2.6,,,28.48,2.8,3.6,Caesars,Seattle Mariners,2,Not Found,2025-10-12 22:08:25
Ottawa Redblacks @ Montreal Alouettes,Ottawa Redblacks,2025-10-13 13:05:00,CFL,7.0,7.5,6.7,7.7,6.25,7.0,7.37,,2.31,7.33,7.5,DraftKings,Montreal Alouettes,2,Not Found,2025-10-13 01:31:48
Miami Heat @ Atlanta Hawks,Miami Heat,2025-10-13 18:00:00,NBA Preseason,3.05,3.0,2.94,2.78,,3.2,3.0,,2.36,3.13,3.2,BetMGM,Atlanta Hawks,2,Not Found,2025-10-13 15:22:47
Washington Wizards @ New York Knicks,New York Knicks,2025-10-13 19:30:00,NBA Preseason,1.36,1.52,1.58,1.23,,1.44,1.38,,6.99,1.48,1.58,FanDuel,Washington Wizards,2,Not Found,2025-10-13 17:59:19
Seattle Mariners @ Toronto Blue Jays,Seattle Mariners,2025-10-13 17:04:00,MLB,2.1,2.06,2.04,1.62,1.95,1.91,,,2.75,2.04,2.1,Caesars,Seattle Mariners,2,Not Found,2025-10-13 17:59:19
Buffalo Bills @ Atlanta Falcons,Buffalo Bills,2025-10-13 19:15:52,NFL,1.74,1.77,1.8,1.51,1.77,1.57,1.54,,3.0,1.75,1.8,FanDuel,Atlanta Falcons,2,Not Found,2025-10-13 19:25:12
Chicago Bears @ Washington Commanders,Washington Commanders,2025-10-13 20:16:00,NFL,1.91,1.83,2.02,1.65,1.87,1.91,,,2.55,1.97,2.02,FanDuel,Chicago Bears,2,Not Found,2025-10-13 22:00:47
Los Angeles Dodgers @ Milwaukee Brewers,Los Angeles Dodgers,2025-10-13 20:08:00,MLB,1.36,1.26,1.34,1.04,1.24,1.24,,,4.4,1.3,1.36,Caesars,Los Angeles Dodgers,2,Not Found,2025-10-13 23:08:11
SSG Landers @ Samsung Lions,SSG Landers,2025-10-14 05:30:00,KBO,2.3,2.5,2.44,2.34,,2.6,2.35,,2.05,2.55,2.6,BetMGM,Samsung Lions,2,Not Found,2025-10-14 05:31:27
Nashville Predators @ Toronto Maple Leafs,Nashville Predators,2025-10-14 19:07:58,NHL,6.0,6.5,6.0,5.27,6.0,5.5,,,5.21,6.18,6.5,DraftKings,Toronto Maple Leafs,2,Not Found,2025-10-14 19:59:03
